Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
126,69.0,0.0
126,70.0,0.0
126,71.0,0.0
126,72.0,0.0
126,73.0,0.0
126,74.0,0.0
126,75.0,0.0
126,76.0,0.0
126,77.0,0.0
126,78.0,0.0
126,79.0,0.0
126,80.0,0.0
126,81.0,0.0
126,82.0,0.0
126,83.0,0.0
126,84.0,0.0
126,85.0,0.0
126,86.0,0.0
126,87.0,0.0
126,88.0,0.0
126,89.0,0.0
126,90.0,0.0
126,91.0,0.0
126,92.0,0.0
126,93.0,0.0
126,94.0,0.0
126,95.0,0.0
126,96.0,0.0
126,97.0,0.0
126,98.0,0.0
126,99.0,0.0
158,1.77,6.401112264518161
158,2.0,4.680072447553667
158,2.36,3.033266807415814
158,2.7199999999999998,2.1143179358492112
158,3.08,1.5629715730847606
158,3.44,1.197782133039002
158,3.8,0.9336562795607612
158,4.16,0.7322852375154835
158,4.52,0.5756046505609812
158,4.88,0.45307095783780754
158,5.24,0.35712143044649436
158,5.6,0.2816984712374997
158,5.96,0.22216900669242837
158,6.32,0.17502816679508673
158,6.68,0.13764337280399078
158,7.04,0.10800587504262243
158,7.3999999999999995,0.08451454918490883
158,7.76,0.06590963565524745
158,8.120000000000001,0.05119636103897997
158,8.48,0.03957450838416439
158,8.84,0.030429747587026254
158,9.2,0.023250136605766466
158,9.559999999999999,0.017635383168795617
158,9.92,0.013266644162938428
158,10.28,0.009883337689236594
158,10.64,0.007280691139045711
158,11.0,0.005294654953293071
158,11.36,0.0037912170805532606
158,11.719999999999999,0.002666021523852544
158,12.08,0.0018343277713429459
158,12.44,0.0012284612327328685
158,12.799999999999999,0.0007959725260875193
158,13.16,0.0004945434337909593
158,13.52,0.0002911643738236662
158,13.879999999999999,0.000159557057085828
158,14.24,7.929275234743241e-05
158,14.6,3.399708125667906e-05
158,14.959999999999999,1.1493095460009631e-05
158,15.32,2.488046148874812e-06
158,15.68,1.6418530995533838e-07
158,16.04,0.0
158,16.4,0.0
158,16.759999999999998,0.0
158,17.119999999999997,0.0
158,17.479999999999997,0.0
158,17.84,0.0
158,18.2,0.0
158,18.56,0.0
158,18.919999999999998,0.0
158,19.28,0.0
158,19.64,0.0
158,20.0,0.0
