Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
126,69.0,0.0
126,70.0,0.0
126,71.0,0.0
126,72.0,0.0
126,73.0,0.0
126,74.0,0.0
126,75.0,0.0
126,76.0,0.0
126,77.0,0.0
126,78.0,0.0
126,79.0,0.0
126,80.0,0.0
126,81.0,0.0
126,82.0,0.0
126,83.0,0.0
126,84.0,0.0
126,85.0,0.0
126,86.0,0.0
126,87.0,0.0
126,88.0,0.0
126,89.0,0.0
126,90.0,0.0
126,91.0,0.0
126,92.0,0.0
126,93.0,0.0
126,94.0,0.0
126,95.0,0.0
126,96.0,0.0
126,97.0,0.0
126,98.0,0.0
126,99.0,0.0
158,1.77,6.958738871886761
158,2.0,5.083523981996126
158,2.36,3.3080904286126707
158,2.7199999999999998,2.3235111471096044
158,3.08,1.7295818816698978
158,3.44,1.3308476903871398
158,3.8,1.038843540710839
158,4.16,0.8148648583292288
158,4.52,0.6404704133250699
158,4.88,0.5042415775990053
158,5.24,0.3976265454270189
158,5.6,0.31377196340227503
158,5.96,0.24752611586071474
158,6.32,0.19503975313825916
158,6.68,0.15341139823554434
158,7.04,0.12040469922687885
158,7.3999999999999995,0.09423848667568566
158,7.76,0.07350502547671782
158,8.120000000000001,0.05710665777922529
158,8.48,0.044151833038648315
158,8.84,0.0339548754011646
158,9.2,0.02594794960211623
158,9.559999999999999,0.019685623793302614
158,9.92,0.014811149604657778
158,10.28,0.011035875526811881
158,10.64,0.008131228339940623
158,11.0,0.005914000105545044
158,11.36,0.004235378425306368
158,11.719999999999999,0.0029788609729772147
158,12.08,0.002049903952324161
158,12.44,0.001373071872439728
158,12.799999999999999,0.00088989895032151
158,13.16,0.0005530211453240557
158,13.52,0.0003256907909996864
158,13.879999999999999,0.00017855500414327746
158,14.24,8.87646875729334e-05
158,14.6,3.808254635207425e-05
158,14.959999999999999,1.2888285941342921e-05
158,15.32,2.79649948925752e-06
158,15.68,1.8610141376554218e-07
158,16.04,0.0
158,16.4,0.0
158,16.759999999999998,0.0
158,17.119999999999997,0.0
158,17.479999999999997,0.0
158,17.84,0.0
158,18.2,0.0
158,18.56,0.0
158,18.919999999999998,0.0
158,19.28,0.0
158,19.64,0.0
158,20.0,0.0
